 Input electron beam energy in GeV.
  Electron beam energy:   10.618 GeV

  Th_e       Q^2       E_e     Th_p        P_p        Mott   Sig_p (fm^2/sr)
  7.000     1.550     9.792   -53.009     1.494    0.330E-03    0.981E-05
  7.050     1.570     9.781   -52.812     1.507    0.320E-03    0.925E-05
  7.100     1.591     9.770   -52.617     1.520    0.311E-03    0.872E-05
  7.150     1.612     9.759   -52.422     1.533    0.303E-03    0.823E-05
  7.200     1.632     9.748   -52.228     1.546    0.294E-03    0.776E-05
  7.250     1.653     9.737   -52.036     1.559    0.286E-03    0.732E-05
  7.300     1.674     9.726   -51.844     1.572    0.279E-03    0.692E-05
  7.350     1.695     9.715   -51.653     1.585    0.271E-03    0.653E-05
  7.400     1.716     9.703   -51.464     1.598    0.264E-03    0.617E-05
  7.450     1.737     9.692   -51.275     1.611    0.257E-03    0.583E-05
  7.500     1.759     9.681   -51.087     1.624    0.250E-03    0.551E-05
  7.550     1.780     9.669   -50.900     1.637    0.244E-03    0.521E-05
  7.600     1.802     9.658   -50.715     1.650    0.237E-03    0.492E-05
  7.650     1.823     9.646   -50.530     1.663    0.231E-03    0.466E-05
  7.700     1.845     9.635   -50.346     1.677    0.225E-03    0.441E-05
  7.750     1.867     9.623   -50.163     1.690    0.219E-03    0.417E-05
  7.800     1.888     9.612   -49.981     1.703    0.214E-03    0.395E-05
  7.850     1.910     9.600   -49.800     1.717    0.208E-03    0.374E-05
  7.900     1.932     9.588   -49.620     1.730    0.203E-03    0.354E-05
  7.950     1.955     9.576   -49.441     1.743    0.198E-03    0.335E-05
  8.000     1.977     9.565   -49.263     1.757    0.193E-03    0.318E-05
  8.050     1.999     9.553   -49.086     1.770    0.188E-03    0.301E-05
  8.100     2.021     9.541   -48.910     1.784    0.184E-03    0.286E-05
  8.150     2.044     9.529   -48.734     1.797    0.179E-03    0.271E-05
  8.200     2.066     9.517   -48.560     1.811    0.175E-03    0.257E-05
  8.250     2.089     9.505   -48.387     1.824    0.171E-03    0.244E-05
  8.300     2.111     9.493   -48.214     1.838    0.167E-03    0.231E-05
  8.350     2.134     9.481   -48.042     1.851    0.163E-03    0.220E-05
  8.400     2.157     9.469   -47.872     1.865    0.159E-03    0.209E-05
  8.450     2.180     9.456   -47.702     1.879    0.155E-03    0.198E-05
  8.500     2.203     9.444   -47.533     1.892    0.152E-03    0.188E-05
  8.550     2.226     9.432   -47.365     1.906    0.148E-03    0.179E-05
  8.600     2.249     9.419   -47.198     1.920    0.145E-03    0.170E-05
  8.650     2.272     9.407   -47.031     1.934    0.141E-03    0.162E-05
  8.700     2.296     9.395   -46.866     1.947    0.138E-03    0.154E-05
  8.750     2.319     9.382   -46.702     1.961    0.135E-03    0.146E-05
  8.800     2.342     9.370   -46.538     1.975    0.132E-03    0.139E-05
  8.850     2.366     9.357   -46.375     1.989    0.129E-03    0.132E-05
  8.900     2.389     9.345   -46.213     2.003    0.126E-03    0.126E-05
  8.950     2.413     9.332   -46.052     2.017    0.123E-03    0.120E-05
  9.000     2.437     9.320   -45.892     2.030    0.121E-03    0.114E-05
  9.050     2.460     9.307   -45.733     2.044    0.118E-03    0.109E-05
  9.100     2.484     9.294   -45.574     2.058    0.115E-03    0.103E-05
  9.150     2.508     9.281   -45.417     2.072    0.113E-03    0.984E-06
  9.200     2.532     9.269   -45.260     2.086    0.110E-03    0.938E-06
  9.250     2.556     9.256   -45.104     2.100    0.108E-03    0.893E-06
  9.300     2.580     9.243   -44.949     2.114    0.106E-03    0.851E-06
  9.350     2.604     9.230   -44.795     2.128    0.103E-03    0.811E-06
  9.400     2.628     9.217   -44.641     2.142    0.101E-03    0.774E-06
  9.450     2.653     9.204   -44.489     2.157    0.991E-04    0.738E-06
  9.500     2.677     9.191   -44.337     2.171    0.971E-04    0.703E-06
  9.550     2.701     9.179   -44.186     2.185    0.951E-04    0.671E-06
  9.600     2.726     9.165   -44.035     2.199    0.931E-04    0.640E-06
  9.650     2.750     9.152   -43.886     2.213    0.912E-04    0.611E-06
  9.700     2.775     9.139   -43.737     2.227    0.893E-04    0.583E-06
  9.750     2.799     9.126   -43.590     2.242    0.875E-04    0.556E-06
  9.800     2.824     9.113   -43.443     2.256    0.857E-04    0.531E-06
  9.850     2.849     9.100   -43.296     2.270    0.840E-04    0.507E-06
  9.900     2.873     9.087   -43.151     2.284    0.823E-04    0.484E-06
  9.950     2.898     9.074   -43.006     2.299    0.806E-04    0.462E-06
 10.000     2.923     9.060   -42.862     2.313    0.790E-04    0.441E-06
 10.050     2.948     9.047   -42.719     2.327    0.775E-04    0.421E-06
 10.100     2.973     9.034   -42.577     2.342    0.760E-04    0.403E-06
 10.150     2.998     9.020   -42.435     2.356    0.745E-04    0.385E-06
 10.200     3.023     9.007   -42.294     2.370    0.730E-04    0.368E-06
 10.250     3.048     8.994   -42.154     2.385    0.716E-04    0.351E-06
 10.300     3.073     8.980   -42.014     2.399    0.702E-04    0.336E-06
 10.350     3.098     8.967   -41.876     2.413    0.689E-04    0.321E-06
 10.400     3.124     8.953   -41.738     2.428    0.676E-04    0.307E-06
 10.450     3.149     8.940   -41.600     2.442    0.663E-04    0.294E-06
 10.500     3.174     8.926   -41.464     2.457    0.650E-04    0.281E-06
 10.550     3.200     8.913   -41.328     2.471    0.638E-04    0.269E-06
 10.600     3.225     8.899   -41.193     2.486    0.626E-04    0.258E-06
 10.650     3.250     8.886   -41.059     2.500    0.614E-04    0.247E-06
 10.700     3.276     8.872   -40.925     2.515    0.603E-04    0.237E-06
 10.750     3.301     8.859   -40.792     2.529    0.592E-04    0.227E-06
 10.800     3.327     8.845   -40.660     2.544    0.581E-04    0.218E-06
 10.850     3.353     8.831   -40.528     2.558    0.570E-04    0.209E-06
 10.900     3.378     8.818   -40.398     2.573    0.560E-04    0.200E-06
 10.950     3.404     8.804   -40.267     2.587    0.550E-04    0.192E-06
 11.000     3.430     8.790   -40.138     2.602    0.540E-04    0.184E-06
 11.050     3.455     8.777   -40.009     2.617    0.530E-04    0.177E-06
 11.100     3.481     8.763   -39.881     2.631    0.520E-04    0.170E-06
 11.150     3.507     8.749   -39.753     2.646    0.511E-04    0.163E-06
 11.200     3.533     8.735   -39.627     2.660    0.502E-04    0.157E-06
 11.250     3.559     8.722   -39.501     2.675    0.493E-04    0.150E-06
 11.300     3.585     8.708   -39.375     2.690    0.484E-04    0.144E-06
 11.350     3.611     8.694   -39.250     2.704    0.476E-04    0.139E-06
 11.400     3.637     8.680   -39.126     2.719    0.468E-04    0.133E-06
 11.450     3.663     8.666   -39.003     2.734    0.460E-04    0.128E-06
 11.500     3.689     8.652   -38.880     2.748    0.452E-04    0.123E-06
 11.550     3.715     8.638   -38.758     2.763    0.444E-04    0.118E-06
 11.600     3.741     8.625   -38.636     2.778    0.436E-04    0.114E-06
 11.650     3.767     8.611   -38.515     2.792    0.429E-04    0.109E-06
 11.700     3.793     8.597   -38.395     2.807    0.421E-04    0.105E-06
