    Rates will be for SHMS 
      E          E'     theta     I      q2    w2   epsilon  sig_el   el_rate   sig_inel  inel_rate tot_rate
    (GeV)      (GeV)    (deg)    (uA)                        (nb/sr)   (kHz)   (nb/sr/GeV)  (kHz)    (kHz)
   10.6180    6.8420   19.5241   70.0  7.111  0.855  0.919 0.230E-01 0.280E-01 0.000E+00 0.283E+00 0.311E+00
   10.6180    6.8420   17.7741   70.0  5.805  2.162  0.928 0.606E-01 0.738E-01 0.000E+00 0.183E+01 0.191E+01
   10.6180    6.8420   21.3741   70.0  8.633 -0.667  0.909 0.926E-02 0.113E-01 0.000E+00 0.138E-01 0.251E-01
   10.6180    6.8420   15.3241   70.0  4.194  3.772  0.939 0.295E+00 0.359E+00 0.000E+00 0.142E+02 0.145E+02
   10.6180    6.3110   21.5241   70.0  8.082  0.880  0.889 0.864E-02 0.105E-01 0.000E+00 0.116E+00 0.127E+00
   10.6180    8.0350   15.2241   70.0  4.855  0.873  0.963 0.316E+00 0.385E+00 0.000E+00 0.296E+01 0.335E+01
   10.6180    8.0350   13.2241   70.0  3.545  2.182  0.971 0.148E+01 0.180E+01 0.000E+00 0.249E+02 0.267E+02
   10.6180    8.0350   17.1741   70.0  6.326 -0.598  0.954 0.870E-01 0.106E+00 0.000E+00 0.138E+00 0.244E+00
    4.9200    4.5570   11.5241   35.0  0.681  0.880  0.972 0.626E+03 0.381E+03 0.000E+00 0.214E+03 0.596E+03
    4.9200    4.4140   13.5241   35.0  0.949  0.881  0.968 0.167E+03 0.102E+03 0.000E+00 0.670E+02 0.169E+03
    4.9200    4.2570   15.5241   35.0  1.244  0.880  0.963 0.515E+02 0.313E+02 0.000E+00 0.227E+02 0.541E+02
    4.9200    2.5830   35.6741   70.0  4.383  0.883  0.760 0.373E-01 0.454E-01 0.000E+00 0.463E-01 0.917E-01
    3.8240    2.9910   22.8141   70.0  1.561  0.882  0.924 0.850E+01 0.104E+02 0.000E+00 0.498E+01 0.153E+02
    3.8240    2.8280   25.5241   70.0  1.870  0.880  0.903 0.332E+01 0.404E+01 0.000E+00 0.198E+01 0.602E+01
    3.8240    2.6690   28.1741   70.0  2.169  0.879  0.878 0.145E+01 0.177E+01 0.000E+00 0.885E+00 0.265E+01
    3.8240    2.5830   29.5241   70.0  2.312  0.897  0.863 0.984E+00 0.120E+01 0.000E+00 0.641E+00 0.184E+01
    3.8240    2.4730   31.5241   70.0  2.534  0.882  0.841 0.574E+00 0.699E+00 0.000E+00 0.357E+00 0.106E+01
    9.4040    6.8420   17.2241   70.0  4.801  0.887  0.950 0.222E+00 0.270E+00 0.000E+00 0.160E+01 0.187E+01
    9.4040    6.3090   19.5241   70.0  5.808  0.881  0.927 0.615E-01 0.749E-01 0.000E+00 0.506E+00 0.581E+00
    9.4040    5.8610   21.5241   70.0  6.648  0.881  0.901 0.234E-01 0.285E-01 0.000E+00 0.208E+00 0.237E+00
    9.4040    5.4360   23.5241   70.0  7.445  0.882  0.870 0.995E-02 0.121E-01 0.000E+00 0.930E-01 0.105E+00
    8.5180    5.8980   19.5241   70.0  4.918  0.879  0.932 0.134E+00 0.163E+00 0.000E+00 0.771E+00 0.935E+00
    8.5180    5.5040   21.5241   70.0  5.655  0.881  0.909 0.515E-01 0.627E-01 0.000E+00 0.324E+00 0.386E+00
    8.5180    5.1280   23.5241   70.0  6.361  0.881  0.881 0.220E-01 0.268E-01 0.000E+00 0.147E+00 0.173E+00
    8.5180    4.7720   25.5241   70.0  7.028  0.882  0.849 0.103E-01 0.126E-01 0.000E+00 0.713E-01 0.839E-01
    8.5180    4.4390   27.5241   70.0  7.653  0.881  0.814 0.524E-02 0.638E-02 0.000E+00 0.370E-01 0.433E-01
    6.4180    4.0330   25.5241   70.0  4.476  0.880  0.878 0.914E-01 0.111E+00 0.000E+00 0.243E+00 0.355E+00
    6.4180    3.7930   27.5241   70.0  4.927  0.879  0.851 0.467E-01 0.569E-01 0.000E+00 0.129E+00 0.186E+00
    6.4180    3.5640   29.5241   70.0  5.355  0.881  0.820 0.254E-01 0.310E-01 0.000E+00 0.722E-01 0.103E+00
    6.4180    3.3490   31.5241   70.0  5.759  0.880  0.788 0.146E-01 0.178E-01 0.000E+00 0.421E-01 0.600E-01
