#H(e,e'p) Run Summary
#Target: 10 cm LH2

#-------------------
#----HMS Singles----
#-------------------
-----> Particles: electrons
-----> HMS Defocused Run: 1267 (1-PASS),  1327 (3-PASS)

Run#	Beam Energy	HMS Momentum	HMS Angle	Date			PASS      Comments
1149    2.221 GeV	2.309 GeV	13.5 deg	December 12, 2017	1-PASS    
1150    2.221 GeV	2.293 GeV	13.5 deg	December 12, 2017	1-PASS   
1151    2.221 GeV	2.259 GeV	13.5 deg	December 12, 2017	1-PASS  
1152    2.221 GeV	2.234 GeV	13.5 deg	December 12, 2017	1-PASS   
1153    2.221 GeV	2.211 GeV	13.5 deg	December 12, 2017	1-PASS  
1154    2.221 GeV	2.187 GeV	13.5 deg	December 12, 2017	1-PASS   
1157    2.221 GeV	2.182 GeV	13.5 deg	December 12, 2017	1-PASS  
1158    2.221 GeV	2.142 GeV	13.5 deg	December 12, 2017	1-PASS     Q1 Tripped!
1159    2.221 GeV	2.120 GeV	13.5 deg	December 12, 2017	1-PASS  
1160    2.221 GeV	2.099 GeV	13.5 deg	December 12, 2017	1-PASS   
1161    2.221 GeV	2.078 GeV	13.5 deg	December 12, 2017	1-PASS  
1162    2.221 GeV	2.057 GeV	13.5 deg	December 12, 2017	1-PASS   
1163    2.221 GeV	2.037 GeV	13.5 deg	December 12, 2017	1-PASS  
1164    2.221 GeV	2.017 GeV	13.5 deg	December 12, 2017	1-PASS   
1165    2.221 GeV	1.998 GeV	13.5 deg	December 12, 2017	1-PASS  
1166    2.221 GeV	1.979 GeV	13.5 deg	December 12, 2017	1-PASS 
1167    2.221 GeV	1.960 GeV	13.5 deg	December 12, 2017	1-PASS  
1168    2.221 GeV	1.942 GeV	13.5 deg	December 12, 2017	1-PASS   
1169    2.221 GeV	1.924 GeV	13.5 deg	December 12, 2017	1-PASS  
1170    2.221 GeV	1.906 GeV	13.5 deg	December 12, 2017	1-PASS   
1171    2.221 GeV	1.889 GeV	13.5 deg	December 12, 2017	1-PASS  
1272    2.221 GeV       2.055 GeV       15.0 deg        December 18, 2017       1-PASS
1329    6.430 GeV       5.205 GeV       15.0 deg        January  14, 2018       3-PASS

1553	10.59 GeV	6.100 GeV	21.0 deg	February 19, 2018	5-PASS		Dipole Saturation Tests
1554	10.59 GeV	6.100 GeV	21.0 deg	February 19, 2018	5-PASS		Dipole Saturation Tests
1557	10.59 GeV	5.900 GeV	21.0 deg	February 19, 2018	5-PASS		Dipole Saturation Tests
1558	10.59 GeV	5.900 GeV	21.0 deg	February 20, 2018	5-PASS		Dipole Saturation Tests
1559	10.59 GeV	5.900 GeV	21.0 deg	February 20, 2018	5-PASS		Dipole Saturation Tests (Increase DIpole Field by 1%)
1560	10.59 GeV	5.900 GeV	21.0 deg	February 20, 2018	5-PASS		Dipole Saturation Tests (Increase DIpole Field by 1%)
1561	10.59 GeV	5.700 GeV	21.0 deg	February 20, 2018	5-PASS		Dipole Saturation Tests 
1562	10.59 GeV	5.700 GeV	21.0 deg	February 20, 2018	5-PASS		Dipole Saturation Tests 
1563	10.59 GeV	5.700 GeV	21.0 deg	February 20, 2018	5-PASS		Dipole Saturation Tests (Dipole Field 0.7% from Nominal)
1565	10.59 GeV	5.700 GeV	21.0 deg	February 20, 2018	5-PASS
1571	10.59 GeV	5.700 GeV	21.0 deg	February 20, 2018	5-PASS
1572	10.59 GeV	5.700 GeV	21.0 deg	February 20, 2018	5-PASS

1644  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1645  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1646  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1647  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1648  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1649  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1650  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1651  	10.59 GeV	1.500 GeV	59.0 deg	February 23, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)

1658  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1659  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1660  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
1661  	10.59 GeV	1.500 GeV	59.0 deg	February 24, 2018	5-PASS		Delta = 9% (edge of HMS acceptance)
